Tournament,Seed,TeamID,
M,W01,1181,
M,W02,1104,
M,W03,1458,
M,W04,1112,
M,W05,1332,
M,W06,1140,
M,W07,1388,
M,W08,1280,
M,W09,1124,
M,W10,1435,
M,W11,1433,
M,W12,1251,
M,W13,1103,
M,W14,1285,
M,W15,1352,
M,W16a,1110,
M,W16b,1291,
M,X01,1222,
M,X02,1397,
M,X03,1246,
M,X04,1345,
M,X05,1155,
M,X06,1228,
M,X07,1417,
M,X08,1211,
M,X09,1208,
M,X10,1429,
M,X11a,1400,
M,X11b,1462,
M,X12,1270,
M,X13,1219,
M,X14,1407,
M,X15,1459,
M,X16,1188,
M,Y01,1120,
M,Y02,1277,
M,Y03,1235,
M,Y04,1401,
M,Y05,1276,
M,Y06,1279,
M,Y07,1266,
M,Y08,1257,
M,Y09,1166,
M,Y10,1307,
M,Y11a,1314,
M,Y11b,1361,
M,Y12,1471,
M,Y13,1463,
M,Y14,1252,
M,Y15,1136,
M,Y16a,1106,
M,Y16b,1384,
M,Z01,1196,
M,Z02,1385,
M,Z03,1403,
M,Z04,1268,
M,Z05,1272,
M,Z06,1281,
M,Z07,1242,
M,Z08,1163,
M,Z09,1328,
M,Z10,1116,
M,Z11,1179,
M,Z12,1161,
W,Z13,1213,
W,Z14,1423,
W,Z15,1303,
W,Z16,1313,
W,W05,3328,
W,W06,3304,
W,W07,3279,
W,W08,3314,
W,W09,3277,
W,W10,3266,
W,W11,3401,
W,W12,3195,
W,W13,3193,
W,W14,3186,
W,W15,3245,
W,W16,3342,
W,X01,3400,
W,X02,3390,
W,X03,3301,
W,X04,3211,
W,X05,3428,
W,X06,3397,
W,X07,3235,
W,X08,3104,
W,X09,3199,
W,X10,3268,
W,X11,3453,
W,X12,3355,
W,X13,3414,
W,X14,3151,
W,X15,3313,
W,X16,3180,
W,Y01,3234,
W,Y02,3417,
W,Y03,3261,
W,Y04,3243,
W,Y05,3160,
W,Y06,3257,
W,Y07,3166,
W,Y08,3452,
W,Y09,3343,
W,Y10,3424,
W,Y11,3292,
W,Y12,3179,
W,Y13,3339,
W,Y14,3349,
W,Y15,3465,
W,Y16,3221,
W,Z01,3425,
W,Z02,3326,
W,Z03,3163,
W,Z04,3439,
W,Z05,3124,
W,Z06,3393,
W,Z07,3181,
W,Z08,3242,
W,Z09,3276,
W,Z10,3350,
W,Z11,3112,
W,Z12,3162,
W,Z13,3267,
W,Z14,3238,
W,Z15,3263,
W,Z16,3394,
